User_ID,Duration,Heart_Rate,Body_Temp
5,32,84,40.8
2,44,116,39.4
4,2,82,40
1,20,76,38.5
4,20,94,38.4
4,24,84,39.1
2,11,109,40
5,39,104,39.4
4,33,76,40.7
1,27,73,40.8
4,13,109,40.1
2,3,85,38.5
1,41,118,39.8
5,16,106,39.1
2,25,87,38.6
5,10,117,40.6
5,17,87,40.3
1,5,92,38.7
2,29,116,40.4
3,44,84,38.2
1,8,100,40.4
2,38,77,39.9
5,28,82,40.4
3,37,97,40.8
2,18,111,38.9
3,14,100,38.7
5,34,98,38.1
3,8,73,39
3,35,91,40.6
1,22,82,39.7
1,41,85,39.6
3,20,73,40.5
3,13,82,40.4
4,6,118,38.2
5,27,99,41
4,34,102,39.4
2,4,111,39.5
4,3,96,39.2
5,45,81,38.2
5,12,96,40.2
3,22,114,39.2
5,33,109,39.3
1,33,97,40.2
4,34,104,39.9
1,14,82,40.7
4,3,81,40.5
5,36,75,40.7
3,21,90,40
4,4,92,40.3
4,8,99,38.2
2,27,92,40.8
5,35,97,39.3
4,9,90,39.1
1,14,108,39.3
1,18,93,40.5
3,35,117,40.9
1,42,119,39.2
1,21,84,39.6
3,45,79,40.3
1,39,115,39.9
4,44,118,40.1
1,11,103,39.6
1,22,95,39.8
5,42,79,38.9
5,3,76,38.3
2,38,91,40
2,29,77,38.4
2,36,88,38.2
2,35,117,39.3
5,25,84,40.2
5,30,76,40.9
4,27,110,40.3
3,18,106,39.2
4,38,102,39
1,2,80,39.4
3,20,96,39.2
4,27,96,39.7
2,21,110,39.1
3,6,108,40.7
2,1,83,39.5
2,2,117,40
4,45,94,39.3
2,35,106,38.2
5,12,118,38.3
2,29,106,39
1,12,84,39.1
5,45,85,38.9
1,41,79,40.1
5,11,100,38.5
1,38,98,40.6
1,45,101,39.5
3,38,91,40.4
1,10,82,40.5
4,20,76,39.6
2,23,120,39.3
3,10,109,38
3,28,74,38.7
4,4,93,40.7
2,9,94,40.5
4,22,109,38.6
2,28,89,39.3
5,26,93,38.2
5,41,103,38.3
3,42,107,38.7
3,28,108,38.9
1,9,85,38.7
1,27,81,40.8
3,13,81,38.8
1,20,105,39.7
4,17,114,38
3,37,87,40.9
3,21,96,39.4
4,30,101,39.8
1,12,114,41
3,44,114,38.1
2,2,103,38.1
5,41,110,39.3
5,45,84,38.1
3,21,82,38.9
4,13,81,40.2
1,29,79,39.8
5,38,80,40.4
5,28,118,39.7
1,18,85,39.8
4,10,98,38.3
2,41,102,40.5
4,44,89,40.4
5,29,98,39.9
4,39,83,38.3
3,38,79,39.4
5,14,107,38.1
1,18,92,40.7
5,10,119,40.9
1,38,76,38.6
3,1,116,40.2
5,35,120,39.8
5,13,76,39.9
1,34,111,38.8
3,22,77,40.8
4,33,74,39.1
2,36,115,39.1
1,39,77,38.1
4,27,102,39.2
5,43,75,40.9
1,19,74,38.3
2,30,120,40
3,16,119,38.8
3,23,73,39.9
3,4,116,39.6
5,32,114,40
4,21,88,40.3
1,10,98,38.3
2,23,95,40.7
4,23,105,39.5
1,33,92,38
1,38,107,39.1
5,42,90,38.3
5,29,120,38.3
1,17,83,39.7
5,35,85,40.1
1,42,81,39.1
1,16,103,40.5
3,8,89,38.2
1,16,115,39.7
3,25,97,40
3,22,110,40.5
5,9,101,38.3
3,20,91,38.9
4,14,109,40.2
2,1,82,40.6
5,23,85,40.9
1,16,104,38.9
2,37,92,40.3
1,5,116,40.8
3,16,98,40.3
5,12,80,38.1
2,45,112,40.8
4,12,94,38
3,19,107,39.7
2,26,111,40.7
5,45,96,38.8
3,28,113,39.3
5,16,81,40.9
3,27,84,38.9
5,24,104,39.2
5,31,97,39.1
4,16,117,38.5
4,44,87,38.6
3,41,108,38.2
3,15,119,38.2
5,38,106,40.2
5,2,76,40.2
2,4,89,39.8
3,8,82,39
3,15,78,38
4,31,84,38.2
1,8,109,40.9
3,9,115,38.4
4,41,82,41
3,21,88,40.6
1,42,81,39.8
1,35,85,40.3
5,8,90,40.3
4,20,118,39
1,22,76,38.5
3,16,97,39
4,36,101,40.8
3,1,111,38.7
1,27,89,38.4
3,45,120,39.3
3,44,106,38.3
5,24,94,39.3
5,37,89,38.7
5,8,109,39.9
1,1,103,38.8
5,28,84,38.4
4,16,89,39.7
5,27,106,38.4
2,35,96,38.3
2,17,117,40.6
3,36,105,39
1,21,92,40.4
3,31,87,38.3
4,21,80,39.7
5,15,120,38.6
3,39,88,39.6
5,18,91,38.9
1,36,91,39.8
3,4,99,40.6
1,25,87,40.3
1,20,105,39.6
1,21,84,39.1
2,36,97,39.9
4,14,92,38.6
1,14,92,39.4
2,28,107,40.3
3,43,97,39.7
3,25,92,39.1
3,17,90,39.7
2,6,91,40.8
3,8,89,38.1
5,28,78,40.1
4,42,99,40.8
1,22,110,39.7
1,38,112,40.7
3,20,109,39
5,9,98,39.3
5,35,112,39.8
3,29,101,39.3
2,32,111,39.1
5,1,87,38.4
1,43,109,40.5
3,29,73,38.2
2,12,83,39.8
5,24,83,39.1
1,2,77,39.5
4,30,100,40.1
3,18,79,40.9
3,5,95,39.7
2,42,77,38
3,2,78,38.4
3,37,102,40.7
1,37,95,39.5
4,41,107,38.7
3,36,93,40.8
4,34,103,38.9
5,13,97,39.5
2,13,106,38.9
3,5,90,39.1
5,45,118,39.3
1,25,73,39.8
2,31,118,38
2,38,73,38.1
4,4,104,40.4
1,23,89,38.7
1,37,120,40.9
5,45,101,39.4
2,4,101,39.3
4,25,100,40.3
2,14,102,40.4
3,43,109,40
4,37,84,38.4
1,32,75,38.1
4,31,91,40.8
1,17,94,38.1
1,17,112,39.5
2,27,88,40
2,23,102,40.4
5,39,90,38.6
1,39,120,39.4
1,25,117,39.9
5,30,93,40.5
3,11,109,38.4
5,37,110,39
3,19,102,40.5
