Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
8/17/2022 22:57,12/30/2014 7:30,100%,8:32,:),,59,0
8/16/2022 21:17,12/30/2014 21:33,3%,0:16,:|,Stressful day,72,0
8/15/2022 22:42,12/31/2014 7:13,98%,8:30,:|,,57,0
8/18/2022 22:31,1/1/2022 6:03,65%,7:32,,,,0
1/1/2022 22:12,1/2/2022 4:56,72%,6:44,:),Drank coffee:Drank tea,68,0
1/3/2022 0:34,1/3/2022 7:47,83%,7:12,:),Drank coffee:Drank tea,60,0
1/4/2022 0:23,1/4/2022 7:37,78%,7:14,,Drank tea,,0
1/4/2022 21:34,1/5/2022 4:53,78%,7:18,:),Ate late:Drank coffee,57,0
1/5/2022 21:32,1/6/2022 5:00,69%,7:27,:),Drank coffee:Drank tea:Worked out,56,0
1/6/2022 21:24,1/7/2022 5:00,74%,7:35,:|,Drank tea:Worked out,64,0
1/7/2022 20:59,1/8/2022 6:19,81%,9:19,:),Drank coffee:Drank tea:Stressful day,62,0
1/8/2022 22:58,1/9/2022 6:14,88%,7:16,:),Drank coffee:Drank tea,58,0
1/9/2022 22:27,1/10/2022 7:29,77%,9:01,:|,Drank coffee:Drank tea,65,0
1/10/2022 22:38,1/11/2022 7:28,89%,8:50,:|,Drank coffee:Drank tea,65,0
1/11/2022 22:12,1/12/2022 6:20,78%,8:08,:),Drank tea,53,0
1/12/2022 21:01,1/13/2022 6:13,100%,9:11,:),Drank tea:Worked out,65,0
1/13/2022 22:14,1/14/2022 6:20,100%,8:06,:),Drank coffee:Drank tea,55,0
1/14/2022 21:48,1/15/2022 5:02,88%,7:13,:),Drank coffee:Drank tea:Worked out,60,0
1/15/2022 21:32,1/16/2022 4:54,87%,7:22,:),Drank tea,60,0
1/17/2022 2:11,1/17/2022 9:03,83%,6:51,:),Drank coffee:Drank tea,94,0
1/17/2022 23:55,1/18/2022 7:47,93%,7:51,:),Drank coffee:Drank tea,57,0
1/18/2022 21:51,1/19/2022 5:04,58%,7:12,:),Drank coffee,67,0
1/19/2022 5:06,1/19/2022 6:20,16%,1:13,:),,58,0
1/19/2022 21:45,1/20/2022 5:45,75%,8:00,:|,Drank coffee:Drank tea:Worked out,54,0
1/20/2022 21:42,1/21/2022 5:45,80%,8:02,:|,Drank coffee:Drank tea:Worked out,60,0
1/21/2022 22:34,1/22/2022 6:17,87%,7:42,:),Drank coffee:Drank tea:Worked out,75,0
1/25/2022 20:55,1/26/2022 6:14,87%,9:19,:),Drank coffee,58,0
1/26/2022 22:36,1/27/2022 6:11,83%,7:35,:|,Drank coffee:Drank tea:Stressful day,66,0
1/28/2022 21:43,1/29/2022 5:20,76%,7:37,:),Drank coffee:Drank tea:Stressful day,57,0
1/29/2022 22:23,1/30/2022 5:29,67%,7:05,:),Drank coffee:Drank tea:Worked out,63,0
1/31/2022 0:13,1/31/2022 8:17,93%,8:03,:),Drank coffee:Drank tea:Stressful day,62,0
2/1/2022 21:55,2/2/2022 5:09,64%,7:13,:),Drank coffee:Drank tea,56,0
2/2/2022 22:30,2/3/2022 6:20,75%,7:49,:),Drank tea,61,0
2/3/2022 22:47,2/4/2022 6:20,72%,7:32,:),Drank coffee:Drank tea,61,0
2/4/2022 23:03,2/5/2022 6:10,70%,7:07,:),Drank tea:Worked out,57,0
2/8/2022 22:30,2/9/2022 6:48,89%,8:17,:),Drank coffee:Drank tea,61,0
2/9/2022 21:55,2/10/2022 6:13,85%,8:17,:),Drank coffee,58,0
2/10/2022 22:20,2/11/2022 6:20,59%,8:00,:),Drank coffee,60,0
2/11/2022 21:53,2/12/2022 5:30,67%,7:36,:),Drank coffee:Drank tea:Worked out,57,0
2/12/2022 22:34,2/13/2022 5:24,69%,6:49,:),Drank coffee:Drank tea:Worked out,53,0
2/15/2022 22:16,2/16/2022 5:20,74%,7:04,:),Drank coffee,60,0
2/17/2022 0:02,2/17/2022 6:16,78%,6:13,:),Drank coffee:Drank tea:Worked out,65,0
2/17/2022 22:20,2/18/2022 5:05,70%,6:45,:),Drank coffee:Drank tea,55,0
